Fecha,CPI
2005-12,197.600
2006-01,197.949
2006-02,198.297
2006-03,198.654
2006-04,199.007
2006-05,199.356
2006-06,199.700
2006-07,200.044
2006-08,200.393
2006-09,200.746
2006-10,201.099
2006-11,201.447
2006-12,201.800
2007-01,202.481
2007-02,203.161
2007-03,203.858
2007-04,204.547
2007-05,205.228
2007-06,205.900
2007-07,206.572
2007-08,207.253
2007-09,207.942
2007-10,208.631
2007-11,209.311
2007-12,210.000
2008-01,210.040
2008-02,210.070
2008-03,210.090
2008-04,210.106
2008-05,210.126
2008-06,210.146
2008-07,210.156
2008-08,210.146
2008-09,210.126
2008-10,210.106
2008-11,210.096
2008-12,210.200
2009-01,210.428
2009-02,210.827
2009-03,211.169
2009-04,211.625
2009-05,212.195
2009-06,212.879
2009-07,213.506
2009-08,214.133
2009-09,214.703
2009-10,215.159
2009-11,215.558
2009-12,215.900
2010-01,216.174
2010-02,216.448
2010-03,216.728
2010-04,217.005
2010-05,217.279
2010-06,217.550
2010-07,217.821
2010-08,218.094
2010-09,218.372
2010-10,218.649
2010-11,218.923
2010-12,219.200
2011-01,219.739
2011-02,220.279
2011-03,220.832
2011-04,221.377
2011-05,221.917
2011-06,222.450
2011-07,222.983
2011-08,223.522
2011-09,224.068
2011-10,224.614
2011-11,225.154
2011-12,225.700
2012-01,226.024
2012-02,226.347
2012-03,226.679
2012-04,227.006
2012-05,227.330
2012-06,227.650
2012-07,227.970
2012-08,228.293
2012-09,228.621
2012-10,228.949
2012-11,229.272
2012-12,229.600
2013-01,229.882
2013-02,230.164
2013-03,230.453
2013-04,230.739
2013-05,231.021
2013-06,231.300
2013-07,231.579
2013-08,231.861
2013-09,232.147
2013-10,232.432
2013-11,232.714
2013-12,233.000
2014-01,233.149
2014-02,233.299
2014-03,233.452
2014-04,233.603
2014-05,233.752
2014-06,233.900
2014-07,234.048
2014-08,234.197
2014-09,234.348
2014-10,234.499
2014-11,234.649
2014-12,234.800
2015-01,234.941
2015-02,235.082
2015-03,235.227
2015-04,235.369
2015-05,235.511
2015-06,235.650
2015-07,235.789
2015-08,235.930
2015-09,236.073
2015-10,236.216
2015-11,236.357
2015-12,236.500
2016-01,236.907
2016-02,237.313
2016-03,237.730
2016-04,238.142
2016-05,238.548
2016-06,238.950
2016-07,239.352
2016-08,239.759
2016-09,240.170
2016-10,240.582
2016-11,240.988
2016-12,241.400
2017-01,241.823
2017-02,242.247
2017-03,242.680
2017-04,243.109
2017-05,243.532
2017-06,243.950
2017-07,244.368
2017-08,244.792
2017-09,245.220
2017-10,245.648
2017-11,246.072
2017-12,246.500
2018-01,246.890
2018-02,247.280
2018-03,247.680
2018-04,248.074
2018-05,248.465
2018-06,248.850
2018-07,249.235
2018-08,249.625
2018-09,250.020
2018-10,250.415
2018-11,250.805
2018-12,251.200
2019-01,251.673
2019-02,252.146
2019-03,252.631
2019-04,253.109
2019-05,253.583
2019-06,254.050
2019-07,254.517
2019-08,254.990
2019-09,255.469
2019-10,255.948
2019-11,256.421
2019-12,256.900
2020-01,257.199
2020-02,257.498
2020-03,257.804
2020-04,258.106
2020-05,258.405
2020-06,258.700
2020-07,258.995
2020-08,259.294
2020-09,259.596
2020-10,259.899
2020-11,260.198
2020-12,260.500
2021-01,261.232
2021-02,262.147
2021-03,263.611
2021-04,265.258
2021-05,267.088
2021-06,268.918
2021-07,270.748
2021-08,272.395
2021-09,274.042
2021-10,275.872
2021-11,277.702
2021-12,278.800
2022-01,280.420
2022-02,281.860
2022-03,283.660
2022-04,285.640
2022-05,287.440
2022-06,289.240
2022-07,290.320
2022-08,291.220
2022-09,292.300
2022-10,293.560
2022-11,294.640
2022-12,296.800
2023-01,297.622
2023-02,298.443
2023-03,299.285
2023-04,300.117
2023-05,300.938
2023-06,301.750
2023-07,302.562
2023-08,303.384
2023-09,304.215
2023-10,305.047
2023-11,305.868
2023-12,306.700
2024-01,307.314
2024-02,307.928
2024-03,308.557
2024-04,309.179
2024-05,309.793
2024-06,310.400
2024-07,311.007
2024-08,311.621
2024-09,312.243
2024-10,312.864
2024-11,313.478
2024-12,314.100
2025-01,314.648
2025-02,315.196
2025-03,315.757
2025-04,316.311
2025-05,316.859
2025-06,317.400
2025-07,317.941
2025-08,318.489
2025-09,319.043
2025-10,319.598
2025-11,320.146
2025-12,320.700
2026-01,321.150
2026-02,321.525
2026-03,321.900
2026-04,322.200
